name,Класс,class_key,Предполагаемый
3D-моделлер / Визуализатор,Дизайн,2,1
UX/UI дизайнер (дизайнер интерфейсов),Дизайн,2,6
Lead 3D Artist/3D Modeller,Дизайн,2,10
Ведущий UX/UI дизайнер,Дизайн,2,10
Старший дизайнер по продукту (удаленно),Дизайн,2,6
Lead 2d Artist (Hyper Casual),Дизайн,2,10
2D Animator,Дизайн,2,5
Продуктовый дизайнер,Дизайн,2,10
Дизайнер,Дизайн,2,6
UX/UI дизайнер уровня middle,Дизайн,2,10
UX/UI дизайнер,Дизайн,2,10
Digital дизайнер,Дизайн,2,10
Графический дизайнер для digital-проектов,Дизайн,2,10
3D-моделлер,Дизайн,2,10
Контент-менеджер,Менеджер,6,6
Бизнес-аналитик,Менеджер,6,10
Менеджер по работе с маркетплейсом Wildberries (удаленно),Менеджер,6,6
Специалист по анализу рынка,Менеджер,6,6
Аккаунт менеджер,Менеджер,6,6
"Технический специалист IT, программист (SQL)",Менеджер,6,6
Менеджер по продажам в онлайн-школу,Менеджер,6,6
Офис-менеджер,Менеджер,6,6
Менеджер по оформлению (розничная торговля),Менеджер,6,6
Менеджер digital-проектов,Менеджер,6,6
Менеджер проектов (Project manager),Менеджер,6,6
Менеджер по продажам ПО для систем автономного управления сельскохозяйственной техникой,Менеджер,6,6
Региональный специалист по информационным системам в международную компанию,Менеджер,6,6
Специалист ИТ,Менеджер,6,6
Бизнес - аналитик,Менеджер,6,6
Менеджер проектов (Project Manager) по продвижению и внедрению BIM-решений (Екатеринбург),Менеджер,6,6
Консультант 1С,Менеджер,6,6
Аккаунт-менеджер веб-мастеров/affiliate manager,Менеджер,6,6
Менеджер по развитию корпоративного бизнеса,Менеджер,6,6
Специалист в службу поддержки поисковых сервисов,Менеджер,6,6
"Региональный менеджер по работе с клиентами в категории ""Авто""",Менеджер,6,6
Менеджер по продаже лидогенерации,Менеджер,6,11
Бизнес-аналитик с функцией product-owner,Менеджер,6,6
Менеджер по работе с ключевыми клиентами,Менеджер,6,6
Специалист в службу поддержки персональных сервисов,Менеджер,6,6
Аналитик,Менеджер,6,6
Менеджер по продажам (удаленная работа),Менеджер,6,6
Консультант SAP,Менеджер,6,6
Менеджер по продажам B2B на входящий поток (удаленно),Менеджер,6,6
Консультант-аналитик 1С,Менеджер,6,10
Специалист по контекстной рекламе,Менеджер,6,6
Методолог-консультант 1С,Менеджер,6,12
Специалист по ручному тестированию (Middle),Менеджер,6,6
Консультант SAP FI/CO,Менеджер,6,6
Специалист отдела технической поддержки,Менеджер,6,6
Эксперт по эксплуатации сетей,Менеджер,6,6
Менеджер по продажам (онлайн продуктов),Менеджер,6,6
Специалист по созданию веб-ботов,Менеджер,6,11
Менеджер по развитию бизнеса Oracle,Менеджер,6,6
Аналитик статистики КЦ,Менеджер,6,6
IT Бизнес-аналитик,Менеджер,6,5
Менеджер по продажам,Менеджер,6,6
Менеджер по продажам,Менеджер,6,6
Специалист по нагрузочному тестированию,Менеджер,6,6
Специалист службы поддержки пользователей,Менеджер,6,6
Ведущий менеджер по работе с клиентами,Менеджер,6,6
Менеджер по работе с клиентами и партнерами на территории УФО (г. Екатеринбург),Менеджер,6,6
Специалист по установке и ремонту КБТ,Менеджер,6,6
Специалист по методологии и регламентации,Менеджер,6,6
Специалист технической поддержки,Менеджер,6,6
1С Эксперт,Менеджер,6,1
Специалист технической поддержки группы CRM,Менеджер,6,6
Специалист сервисного центра,Менеджер,6,6
Ведущий специалист Центра внедрения и сопровождения,Менеджер,6,6
Менеджер по продукту,Менеджер,6,6
IT специалист (CRM интегратор),Менеджер,6,6
Категорийный менеджер (сотовая связь),Менеджер,6,6
Специалист поддержки срочных обращений,Менеджер,6,6
Аналитик (телеком направление),Менеджер,6,6
Менеджер по работе с клиентами,Менеджер,6,6
Менеджер по продажам,Менеджер,6,6
Специалист в службу поддержки геосервисов,Менеджер,6,6
Специалист внедрения 1С в подразделение Middle East,Менеджер,6,11
"Аккаунт менеджер (Software, b2b) удалённо",Менеджер,6,6
Менеджер по продажам услуг по привлечению клиентов,Менеджер,6,6
Менеджер по IT,Менеджер,6,10
Аналитик 1С,Менеджер,6,10
Специалист по сопровождению 1С,Менеджер,6,12
"Специалист С#, Asp.Net Core",Менеджер,6,10
Менеджер по продажам интернет-рекламы сайта недвижимости Циан / cian,Менеджер,6,6
Ведущий специалист (направление бизнес-аналитика и BI),Менеджер,6,6
Аналитик в направление «Голосовые технологии»,Менеджер,6,6
Старший специалист поддержки,Менеджер,6,6
Аналитик релизной команды,Менеджер,6,6
Консультант 1С [id64345],Менеджер,6,6
Консультант 1С: ERP,Менеджер,6,6
Специалист по нагрузочному тестированию,Менеджер,6,6
Региональный менеджер по продажам бутилированной воды,Менеджер,6,6
Трафик-менеджер (Крым),Менеджер,6,6
Менеджер проекта CRM,Менеджер,6,6
Специалист по информационной безопасности,Менеджер,6,6
Специалист отдела технической поддержки,Менеджер,6,6
Менеджер по продажам ИТ-продукта в корпоративный сегмент,Менеджер,6,12
Ведущий консультант Microsoft Dynamics 365 Sales,Менеджер,6,6
IT Recruiter \ Менеджер по подбору персонала,Менеджер,6,5
"Специалист / ведущий специалист SAP HR (PA, OM, PT) [33202]",Менеджер,6,6
Специалист по речевой аналитике КЦ,Менеджер,6,6
Специалист технической поддержки 1-ой линии,Менеджер,6,6
Ведущий специалист (направление RPA и бизнес-процессы),Менеджер,6,6
SEO-специалист,Менеджер,6,6
Региональный менеджер по CRM / CRM Manager (salesforce.com),Менеджер,6,12
Аналитик 1С:ЗУП [id59043],Менеджер,6,10
DevOps специалист [id52146],Менеджер,6,1
Специалист группы почтовой поддержки модерации Директа,Менеджер,6,6
Ведущий специалист по диджитализации,Менеджер,6,6
Региональный менеджер отдела продаж,Менеджер,6,6
Аналитик (remote),Менеджер,6,6
SEO-специалист,Менеджер,6,3
Capacity manager / Менеджер по производительности,Менеджер,6,5
Ведущий специалист по защите информации,Менеджер,6,6
DevOps специалист управления облачных решений (OpenStack),Менеджер,6,10
Специалист поддержки SAP FI,Менеджер,6,6
Специалист по организации ITSM процессов,Менеджер,6,6
Технический писатель,Менеджер,6,6
Главный специалист по информационной безопасности,Менеджер,6,6
DevOps специалист управления облачных решений (OpenShift),Менеджер,6,1
Консультант – аналитик Dynamics CRM,Менеджер,6,6
Консультант SAP,Менеджер,6,6
Менеджер проекта,Менеджер,6,6
Бизнес-аналитик 1С,Менеджер,6,11
Аналитик BI,Менеджер,6,6
Ведущий специалист (направление бизнес-аналитика и управление данными),Менеджер,6,6
Консультант 1С:Документооборот [id76782],Менеджер,6,6
Менеджер по продажам,Менеджер,6,6
Аналитик по планированию и отчетности,Менеджер,6,6
Ведущий специалист (по оптимизации бизнес-процессов и автоматизации),Менеджер,6,6
Менеджер по продаже и установке спутникового ТВ МТС,Менеджер,6,6
Менеджер по продажам,Менеджер,6,6
Менеджер по продажам IT-продуктов,Менеджер,6,6
Специалист в службу поддержки сервисов для организаций,Менеджер,6,6
Менеджер по продажам (home office),Менеджер,6,6
"Менеджер по продажам бизнес услуг (B2B, B2C)",Менеджер,6,6
Старший аналитик,Менеджер,6,6
Ведущий бизнес-аналитик 1С,Менеджер,6,10
Продавец-консультант в салон сотовой связи,Менеджер,6,6
Консультант-аналитик SAP PP,Менеджер,6,6
Специалист по IT,Менеджер,6,12
Консультант-аналитик SAP MM,Менеджер,6,6
Менеджер по продажам,Менеджер,6,10
Менеджер по продажам в Интернет-канале,Менеджер,6,6
Бизнес-аналитик,Менеджер,6,6
Специалист по технической поддержке,Менеджер,6,6
Бизнес-аналитик,Менеджер,6,6
Ведущий специалист пользовательского тестирования,Менеджер,6,6
Менеджер по продажам (на входящих лидах) удаленно,Менеджер,6,6
Региональный менеджер по продажам,Менеджер,6,6
Менеджер по продажам (на входящих лидах) удаленно,Менеджер,6,6
Ведущий специалист,Менеджер,6,6
Продуктовый маркетинговый аналитик в Яндекс.Практикум,Менеджер,6,6
Пресейл менеджер (Pre-sale),Менеджер,6,6
Менеджер по внедрению новых проектов,Менеджер,6,6
Главный специалист по работе с партнерами,Менеджер,6,6
Специалист по информационной безопасности,Менеджер,6,6
Аналитик систем мотивации,Менеджер,6,6
Менеджер по сопровождению закупок техники и ИТ,Менеджер,6,6
Бизнес Аналитик Salesforce,Менеджер,6,6
Консультант SAP MM\SD,Менеджер,6,6
Продуктовый аналитик,Менеджер,6,6
Специалист службы поддержки пользователей,Менеджер,6,6
Менеджер по оптовым продажам,Менеджер,6,6
Product Manager / Менеджер по продукту (Product Owner),Менеджер,6,10
Ведущий специалист направления процессного управления,Менеджер,6,6
Специалист отдела информационной безопасности,Менеджер,6,6
"Продавец-консультант в кобрендинговый офис МОТИВ и Xiaomi (ул. Вайнера, 19)",Менеджер,6,6
Бизнес-аналитик Tableau (удаленно),Менеджер,6,6
Аналитик ЦФТ,Менеджер,6,6
Вечерний менеджер,Менеджер,6,6
Специалист управления исследований и оптимизации бизнес-процессов,Менеджер,6,6
Главный специалист информационных технологий,Менеджер,6,6
Региональный менеджер по проектам,Менеджер,6,6
Аналитик (г. Сочи),Менеджер,6,6
Интернет-маркетолог (удаленно),Менеджер,6,6
Менеджер по продажам (удаленно),Менеджер,6,6
Менеджер разработки в Контур.Продажи,Менеджер,6,6
Менеджер по подбору персонала / HR менеджер,Менеджер,6,6
Специалист по поиску (размещение БС),Менеджер,6,6
Специалист технической поддержки,Менеджер,6,6
Специалист технической поддержки,Менеджер,6,6
Ведущий специалист Helpdesk,Менеджер,6,6
Специалист клиентского сервиса со знанием французского и английского языка,Менеджер,6,6
Специалист клиентского сервиса со знанием испанского и английского языка,Менеджер,6,6
Аналитик группы аналитики больших данных,Менеджер,6,6
Специалист по защите информации,Менеджер,6,6
"Специалист (BIM-менеджер Revit Architecture, Revit Structures)",Менеджер,6,6
Старший специалист группы поддержки,Менеджер,6,6
Специалист технической поддержки,Менеджер,6,6
Интернет-маркетолог в агентство контент-маркетинга (удалённо),Менеджер,6,6
Аналитик,Менеджер,6,6
"Менеджер по продажам (SaaS-сервис, B2B)",Менеджер,6,6
Специалист службы технической поддержки,Менеджер,6,6
Менеджер по продажам (Удаленно),Менеджер,6,6
Специалист по поддержке пользователей,Менеджер,6,6
Специалист в службу поддержки продукта Яндекс.Справочник,Менеджер,6,6
Специалист технической поддержки (удаленная работа),Менеджер,6,6
SEO-специалист,Менеджер,6,5
Риск-аналитик (банк),Менеджер,6,6
Технический специалист по работе с интернет-площадками,Менеджер,6,12
Комьюнити-менеджер / community manager,Менеджер,6,6
Трейд-маркетолог,Менеджер,6,6
Специалист в службу поддержки Медиасервисов Яндекса,Менеджер,6,6
Специалист группы разбора рекламаций,Менеджер,6,6
Удаленный Менеджер по работе с клиентами (без поиска),Менеджер,6,6
Специалист по видеонаблюдению,Менеджер,6,6
Change - менеджер,Менеджер,6,1
Технический аналитик,Менеджер,6,12
Специалист технической поддержки,Менеджер,6,6
Менеджер по работе с клиентами (без прямых продаж),Менеджер,6,6
Специалист по внедрению и сопровождению ПО,Менеджер,6,6
Специалист группы почтовой поддержки Директа,Менеджер,6,6
Специалист виртуального офиса,Менеджер,6,6
"Frontend разработчик (Vue, React, Angular)",Веб,1,10
Frontend-разработчик,Веб,1,10
Frontend-разработчик,Веб,1,10
Frontend разработчик (React),Веб,1,10
Backend разработчик (Java),Веб,1,1
Backend Developer (Пермь),Веб,1,10
Web-программист,Веб,1,10
Kotlin Backend Senior Developer (remote),Веб,1,5
PHP Веб-разработчик Bitrix24,Веб,1,10
Frontend developer (Contact Center) remote,Веб,1,10
Backend-разработчик (PHP),Веб,1,10
Frontend разработчик (Цифровой каталог услуг),Веб,1,5
Backend-разработчик (Middle),Веб,1,10
Frontend developer (Billing) remote,Веб,1,10
Ведущий веб-разработчик / Senior Fullstack Developer,Веб,1,10
"Веб-разработчик (PHP, Битрикс-программист)",Веб,1,10
Web-программист,Веб,1,6
"Fullstack developer (JavaScript, Node.js) удаленно",Веб,1,10
Frontend developer (audio&video conferences) remote,Веб,1,10
Веб-программист / Modx EVO / EVO CMS,Веб,1,6
Senior/Middle Fullstack Developer (.NET + React),Веб,1,10
Python Backend developer,Веб,1,10
Fullstack React Developer,Веб,1,10
WEB разработчик сайтов,Веб,1,5
Frontend-разработчик (Middle),Веб,1,10
Frontend-разработчик,Веб,1,10
Frontend разработчик (react),Веб,1,10
Frontend программист React+Typescript,Веб,1,10
Веб-программист/web-программист,Веб,1,10
Frontend-разработчик (React),Веб,1,10
Веб-программист Full Stack (Front + Back),Веб,1,6
Frontend разработчик (Angular),Веб,1,5
Frontend-разработчик,Веб,1,10
Middle Backend разработчик (удалённо),Веб,1,10
Web-разработчик / Team-Lead (Full stack PHP),Веб,1,10
Frontend-разработчик личного кабинета,Веб,1,10
Middle JavaScript / Frontend Developer,Веб,1,5
Программист-тестировщик производительности приложений (Junior),Разработка,10,6
Программист 1C на проект,Разработка,10,6
Разработчик Ruby & RoR,Разработка,10,6
Бекенд-разработчик в Путешествия,Разработка,10,10
Фронтенд-разработчик в Конструктор лендингов,Разработка,10,11
Программист SQL,Разработка,10,6
IOS Developer,Разработка,10,10
Программист С++ (Казань),Разработка,10,10
Android разработчик,Разработка,10,10
Front-end разработчик (React.js / React Native),Разработка,10,10
Разработчик iOS (удаленно),Разработка,10,10
Разработчик мобильных приложений под Android,Разработка,10,10
Разработчик Python,Разработка,10,10
Программист 1С,Разработка,10,10
PHP-программист,Разработка,10,10
Программист 1С (фармацевтическое производство),Разработка,10,10
Android разработчик,Разработка,10,10
Разработчик ЦФТ,Разработка,10,10
Back-end разработчик / Node.js,Разработка,10,10
Разработчик в группу коммерческих решений Турбо,Разработка,10,10
Разработчик DWH (удаленно),Разработка,10,10
"Фронт-энд разработчик (React.js / React, Middle/Senior)",Разработка,10,11
Senior Python Developer (Full stack),Разработка,10,10
Ведущий программист 1С (удаленно),Разработка,10,10
C# Разработчик,Разработка,10,10
Разработчик 1С (в Москву),Разработка,10,6
PHP-разработчик,Разработка,10,10
Программист 1С,Разработка,10,10
React разработчик в Neattech.io,Разработка,10,6
Node.js/React.js программист,Разработка,10,10
Python - разработчик на проект DATAPK,Разработка,10,5
PHP-программист,Разработка,10,6
Программист SQL / .NET,Разработка,10,11
Разработчик SQL,Разработка,10,11
Ведущий программист 1С (Среднеуральск),Разработка,10,10
Программист (1C:Бухгалтерия),Разработка,10,11
"Full stack разработчик Asp.Net, MVC (удаленно)",Разработка,10,10
Разработчик SAS,Разработка,10,6
"Бэк-энд разработчик (node.js,Middle/Senior)",Разработка,10,10
IOS разработчик,Разработка,10,10
Middle Java developer,Разработка,10,5
C# developer/ C# разработчик (в группу разработки высоконагруженных серверов),Разработка,10,10
Lead .Net Developer,Разработка,10,10
Программист 1С,Разработка,10,11
Программист 1С - УНФ:Управление нашей фирмой 8.3,Разработка,10,6
"Full-stack developer (.net, JavaScript)",Разработка,10,10
Middle JavaScript Full Stack Developer,Разработка,10,10
Senior developer,Разработка,10,10
PHP-разработчик,Разработка,10,10
Senior Ruby on Rails Developer (Full-stack),Разработка,10,10
Ведущий C#-разработчик,Разработка,10,10
Разработчик С++ (Navi) middle,Разработка,10,11
Middle Net/C# разработчик в Fiji,Разработка,10,10
Python разработчик,Разработка,10,10
PHP-разработчик,Разработка,10,6
Программист - разработчик Middle -Full-stack,Разработка,10,6
PHP-программист (удаленно),Разработка,10,10
Senior developer (.net\vue.js),Разработка,10,10
Middle Java-разработчик,Разработка,10,10
IOS разработчик,Разработка,10,10
Lead/Senior Java Developer,Разработка,10,10
Разработчик Java / Back-End Java Developer,Разработка,10,11
Разработчик DWH (в г. Сочи),Разработка,10,10
Программист C# / ASP.NET MVC,Разработка,10,6
PHP-программист,Разработка,10,10
Senior PHP Developer,Разработка,10,5
Back-end and mobile developer (St. Petersburg/Remote),Разработка,10,10
Middle Scala Developer (Java / C++/С#/ Python/автоматизация экспертной деятельности),Разработка,10,10
Java-разработчик,Разработка,10,10
Middle Java-разработчик,Разработка,10,10
JavaScript разработчик,Разработка,10,10
Ведущий программист 1С/Координатор отдела внедрения 1С,Разработка,10,10
Python-разработчик,Разработка,10,10
Senior Android Developer,Разработка,10,10
Ведущий программист 1С (TeamLead),Разработка,10,10
"Программист 1С (ЗУП, БП)",Разработка,10,10
Программист 1С,Разработка,10,6
Senior iOS Developer,Разработка,10,10
Unity Developer (Hyper Casual),Разработка,10,10
Golang Developer,Разработка,10,10
Программист 1С ЗУП (дистанционно),Разработка,10,11
Lead Unity Developer (Hyper Casual),Разработка,10,10
Ruby on Rails developer (remote),Разработка,10,10
IOS разработчик супераппа Яндекс,Разработка,10,10
Senior Python Developer (remote),Разработка,10,3
Разработчик баз данных MS SQL,Разработка,10,6
Android Developer,Разработка,10,10
Программист 1С,Разработка,10,6
Программист (1C:TMS),Разработка,10,10
Разработчик 1С [id78342],Разработка,10,6
Программист 1С,Разработка,10,10
Senior Java Developer,Разработка,10,10
Программист/ведущий программист 1С,Разработка,10,6
Senior PHP-разработчик,Разработка,10,10
Разработчик Python,Разработка,10,6
Программист 1С,Разработка,10,10
Главный Java разработчик (проект по разработке платформы АС «Банковское страхование»),Разработка,10,6
Главный разработчик Java,Разработка,10,10
Разработчик баз данных,Разработка,10,6
Python разработчик,Разработка,10,10
Java developer (удаленная работа),Разработка,10,10
Разработчик 1С:ЗУП [id59242],Разработка,10,10
Lead разработчик (Python + Django),Разработка,10,10
Программист 1С [id65861],Разработка,10,10
Java Developer (International IT Company),Разработка,10,10
Программист SQL,Разработка,10,11
Python Developer (Python программист),Разработка,10,10
Программист backend (API-интеграции),Разработка,10,10
"Ведущий PHP-программист, Symfony",Разработка,10,10
Golang-разработчик,Разработка,10,10
Senior Front-end Developer (remote),Разработка,10,10
Middle Front-end разработчик (Vue.js),Разработка,10,10
Android Developer (разработка решения Naumen Service Desk),Разработка,10,10
Senior Node.js Developer,Разработка,10,10
PHP разработчик / PHP Developer (удаленно),Разработка,10,10
Разработчик ЦФТ (развитие технологических сервисов),Разработка,10,10
Ведущий разработчик .net [id15315],Разработка,10,10
Node.JS Developer,Разработка,10,10
Middle Java Developer,Разработка,10,10
Java-разработчик,Разработка,10,10
Senior C++ Developer,Разработка,10,10
Разработчик BI,Разработка,10,11
Middle GO Developer,Разработка,10,10
Разработчик BI (Cognos),Разработка,10,10
Java-разработчик [id 52112],Разработка,10,10
Lead Ruby on Rails Developer (remote),Разработка,10,10
Front-end разработчик (React),Разработка,10,10
Java разработчик (Профиль клиента),Разработка,10,5
PHP-разработчик (backend-программист),Разработка,10,10
Senior Computer Vision C++ Developer,Разработка,10,10
Android разработчик (финансовые сервисы),Разработка,10,1
PHP-разработчик,Разработка,10,10
Программист Delphi,Разработка,10,11
Программист 1С,Разработка,10,10
Senior iOS Developer (телеком),Разработка,10,10
Java разработчик / Senior Java разработчик (TeamLead),Разработка,10,10
PHP разработчик,Разработка,10,10
Senior PHP Developer,Разработка,10,10
Senior/Middle Java developer,Разработка,10,10
Ведущий программист 1С/удаленно,Разработка,10,10
.NET developer,Разработка,10,10
Разработчик отчетов,Разработка,10,6
Программист 1C (удаленная работа),Разработка,10,10
Программист-разработчик,Разработка,10,11
Middle/Senior разработчик Flutter (удаленно),Разработка,10,10
Главный java разработчик (СберЛизинг),Разработка,10,6
Java to Kotlin разработчик (ЛК РКО SME - Origination),Разработка,10,10
Разработчик C# (Цифровой каталог услуг),Разработка,10,6
Senior Java Developer,Разработка,10,10
Разработчик DWH,Разработка,10,10
Разработчик Go (Golang),Разработка,10,10
